"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-2dd479e5d6014013b7634b08b6118085","AggregationRelationship","","","id-738789","id-729659",""
"id-361d5bf8bd5143e5bfcc266878c852ef","AggregationRelationship","","","id-b7e50220855c4223b7af84a5a0e78e1a","id-4993de1666b84efcbc102bcd6102ada2",""
"id-4b5f2623c70140c18041b70567194371","AggregationRelationship","","","id-658375e1e23644f589ccaa437fa7e45f","id-6768bc9140094b1daa8706577a9a0b6e",""
"id-f4110e48b77d483381e1ddc64bf966f9","AggregationRelationship","","","id-738789","id-729558",""
"id-de25fbe6ccea48c2b2353a40f188d9ca","AggregationRelationship","","","id-737000","id-718833",""
"id-e7bd515105d0474282e81bf1097a9e1e","AggregationRelationship","","","id-738789","id-729609",""
"id-704b48b92ac8462db8c6350688bda10a","AggregationRelationship","","","id-737009","id-718173",""
"id-e9c422ce0306408ea78d3f7b3613f3a6","AggregationRelationship","","","id-b7e50220855c4223b7af84a5a0e78e1a","id-2653d94e08524482adaf3439ed2972e3",""
"id-b5c4a66b1c034bf685b716d874b0611d","AggregationRelationship","","","id-658375e1e23644f589ccaa437fa7e45f","id-a5b3cfa283954862b6d6a05af2acd12d",""
"id-5b48ec8fd9d24a6f9e45b8fa332b2971","AggregationRelationship","","","id-738789","id-729665",""
"id-57e7f9f790684bc5aa6276f21f87f4ca","AggregationRelationship","","","id-b7e50220855c4223b7af84a5a0e78e1a","id-66cbd1922333427da4a6446c460c5c85",""
"id-274b43a8b330426ea2b6ebbd5c17d3ad","AggregationRelationship","","","id-658375e1e23644f589ccaa437fa7e45f","id-f6eb2df1c8894a1a89ec05d23dd4b68b",""
"id-7e03da829c2b44a4bf56b522d6ddf46a","AggregationRelationship","","","id-729690","id-736039",""
"id-ce57cd54da00428d95b7e9f435181a0d","AggregationRelationship","","","id-737009","id-718168",""
"id-c815a608061241afb86dbd78c34ad558","AggregationRelationship","","","id-729690","id-736067",""
"id-1a29e8b56d2149ada60740c94be3d2f8","AggregationRelationship","","","id-737009","id-718169",""
"id-9ea33c9cff2e4ddca21d47a05ea7e9f3","AggregationRelationship","","","id-737000","id-718834",""
"id-b7611725cce34e3793d05c94ea35532e","AggregationRelationship","","","id-658375e1e23644f589ccaa437fa7e45f","id-63641939a77640b887628b46caf81710",""
"id-5b22e55fd7d3446da13f05d1c4c5f0e0","AggregationRelationship","","","id-738789","id-729632",""
"id-eb9feb33b821433a86843afce04df9f3","AssociationRelationship","(dreigende) onderbreking van","","id-729560","id-729563",""
"id-735686","AssociationRelationship","aan","","id-469451","id-468873",""
"id-738851","AssociationRelationship","aan","","id-729609","id-729578",""
"id-735500","AssociationRelationship","aan","","id-722939","id-469427",""
"id-735619","AssociationRelationship","aanbieding van","","id-470129","id-722954",""
"id-735525","AssociationRelationship","aanvaarding van","","id-469480","id-470129",""
"id-735493","AssociationRelationship","achter","","id-479419","id-468886",""
"id-598a34e30d604cd6804b2e4ae9f59a0e","AssociationRelationship","actief op","","id-729667","id-729684",""
"id-735510","AssociationRelationship","actief op","","id-478409","id-468886",""
"id-8fd6de2c8bc54de8bb81150b390b750b","AssociationRelationship","afspraak over","","id-469480","id-468886",""
"id-669dcde9062940d3ac5af0333d05d694","AssociationRelationship","bediening van","","id-729563","id-729592",""
